nom,variete,pays,temperature,cluster,url,floral,fruite,boise,terreux,epice,vegetal
Si Ji Chun,Thé wulong,Taiwan,95,3,https://camellia-sinensis.com/fr/si-ji-chun/2411,3,1,0,0,0,2
Sun Moon Lake T-18,Thé noir,Taiwan,95,1,https://camellia-sinensis.com/fr/sun-moon-lake-t-18/2239,1,0,2,0,2,0
Tan Huong,Thé vert,Vietnam,85,0,https://camellia-sinensis.com/fr/tan-huong/2321,0,0,1,0,0,3
Tea Studio | Nilgiri Bai Mu Dan,Thé blanc,Inde,75,3,https://camellia-sinensis.com/fr/tea-studio-nilgiri-bai-mu-dan/4522,1,1,0,0,0,2
Tea Studio | Nilgiri Coonoor,Thé noir,Inde,95,4,https://camellia-sinensis.com/fr/tea-studio-nilgiri-coonoor/2233,0,2,2,0,0,0
Tea Studio | Nilgiri Kukicha grillé,Thé vert,Inde,95,1,https://camellia-sinensis.com/fr/tea-studio-nilgiri-kukicha-grille/5417,0,0,3,1,0,1
Tea Studio | Nilgiri Mao Feng,Thé vert,Inde,85,0,https://camellia-sinensis.com/fr/tea-studio-nilgiri-mao-feng/4521,0,1,0,0,0,3
Thai Pu Er Sheng 2006 Hong Tai Cha,Thé pu er et vieilli,Thaïlande,95,4,https://camellia-sinensis.com/fr/thai-pu-er-sheng-2006-hong-tai-cha/3345,0,3,2,2,0,0
Woojeon Jeju biologique,Thé vert,Corée du Sud,85,0,https://camellia-sinensis.com/fr/woojeon-jeju-biologique/6483,0,1,0,0,0,3
Xin Yang Mao Jian,Thé vert,Chine,85,0,https://camellia-sinensis.com/fr/xin-yang-mao-jian/3660,0,1,0,0,0,3
Yakushima biologique,Thé noir,Japon,95,1,https://camellia-sinensis.com/fr/yakushima-biologique/6398,0,0,3,1,0,0
Yunnan Da Ye biologique,Thé noir,Chine,90,1,https://camellia-sinensis.com/fr/yunnan-da-ye-biologique/2261,1,1,2,0,0,0
